plcyNo,bscPlanCycl,bscPlanPlcyWayNo,bscPlanFcsAsmtNo,bscPlanAsmtNo,pvsnInstGroupCd,plcyPvsnMthdCd,plcyAprvSttsCd,plcyNm,plcyKywdNm,plcyExplnCn,lclsfNm,mclsfNm,plcySprtCn,sprvsnInstCd,sprvsnInstCdNm,sprvsnInstPicNm,operInstCd,operInstCdNm,operInstPicNm,sprtSclLmtYn,aplyPrdSeCd,bizPrdSeCd,bizPrdBgngYmd,bizPrdEndYmd,bizPrdEtcCn,plcyAplyMthdCn,srngMthdCn,aplyUrlAddr,sbmsnDcmntCn,etcMttrCn,refUrlAddr1,refUrlAddr2,sprtSclCnt,sprtArvlSeqYn,sprtTrgtMinAge,sprtTrgtMaxAge,sprtTrgtAgeLmtYn,mrgSttsCd,earnCndSeCd,earnMinAmt,earnMaxAmt,earnEtcCn,addAplyQlfcCndCn,ptcpPrpTrgtCn,inqCnt,rgtrInstCd,rgtrInstCdNm,rgtrUpInstCd,rgtrUpInstCdNm,rgtrHghrkInstCd,rgtrHghrkInstCdNm,zipCd,plcyMajorCd,jobCd,schoolCd,aplyYmd,frstRegDt,lastMdfcnDt,sbizCd
20251124005400211938,1,001,001,001,0054002,0042002,0044002,찾아가는 일자리 희망버스 운영,"중소기업,맞춤형상담서비스",취업을 희망하는 일자리 구인수요 기업을 방문하여 현장탐방 후 면접을 통해 채용으로 이어지는 원스톱 취업지원 서비스 제공,일자리,취업,"구직자가 채용계획이 있는 중소기업을 탐방하고 근무현장에서 면접을 실시해 중소기업 인식을 개선, 실질적인 취업으로 연계",6461533,전라남도 동부지역본부 일자리투자유치국 일자리경제과,,B554802,재단법인전라남도중소기업일자리경제진흥원,,Y,0057002,0056001,20250201,20251231,,"전남일자리정보망, 일자리종합센터 유선접수 등",,,,"구인기업 모집에 따라 지원요건, 신청기간 등 변경되오니 관련 부서, 운영기관에 문의하여 주시기 바랍니다.",https://job.jeonnam.go.kr,https://job.jeonnam.go.kr/www/86?bbsId=bbs1&postId=8526&clId=&pageIndex=1&pageUnit3=9&condition=&operator=contains&keyword=&url=%2Fwww%2Fbbs%2FpostView,0,N,0,0,Y,0055003,0043001,0,0,,참여기업 구인상세내역에 따라 지원대상 변경됨,,199,6460000,전라남도,0000000,전라남도,6460000,전라남도,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740,26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710,27110,27140,27170,27200,27230,27260,27290,27710,27720,28110,28140,28177,28185,28200,28237,28245,28260,28710,28720,29110,29140,29155,29170,29200,30110,30140,30170,30200,30230,31110,31140,31170,31200,31710,36110,41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830,43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800,44131,44133,44150,44180,44200,44210,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825,46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910,47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940,48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890,50110,50130,51110,51130,51150,51170,51190,51210,51230,51720,51730,51750,51760,51770,51780,51790,51800,51810,51820,51830,52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800",0011008,0013003,0049009,,2025-11-24 21:10:16,2025-11-25 10:24:01,0014009
20251114005400211895,1,004,016,042,0054002,0042002,0044002,청년 의령 살아보기,주거지원,의령군 지역에 머물면서 개별 자유여행을 진행하며 개인 SNS 등을 통해 의령군 관광자원을 불특정 다수에게 홍보,복지문화,문화활동,"숙박비, 부대비(식비), 체험비 등 최대 85만원 지원",5390115,경상남도 의령군 소멸위기대응추진단,,       ,,,N,0057001,0056001,20250314,20251212,," - (온라인) 의령군온라인청년센터(청년정책 > 청년정책패키지 > 신청하기 > 본인인증(휴대폰 인증) > 신청서 및 제출서류 파일 업로드(스캔 또는 사진))
    (https://www.uiryeong.go.kr/index.uiryeong?contentsSid=1904)
  - (우편 또는 방문) 의령군 의령읍 충익로 63, 소멸위기대응추진단 ",,,"참가신청서(서식1), 개인정보제공·동의서(서식2), 서약서(서식3), 주민등록초본(신청월 기준)",,https://www.uiryeong.go.kr/youthcenter/index.uiryeong#,https://www.uiryeong.go.kr/youthcenter/board/view.uiryeong?boardId=BBS_0000533&menuCd=DOM_000002001001004000&startPage=1&dataSid=1092694,0,N,18,49,N,0055003,0043001,0,0,,,,10,5390000,경상남도 의령군,5390000,경상남도 의령군,6480000,경상남도,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740,26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710,27110,27140,27170,27200,27230,27260,27290,27710,27720,28110,28140,28177,28185,28200,28237,28245,28260,28710,28720,29110,29140,29155,29170,29200,30110,30140,30170,30200,30230,31110,31140,31170,31200,31710,36110,41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830,43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800,44131,44133,44150,44180,44200,44210,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825,46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910,47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940,48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890,50110,50130,51110,51130,51150,51170,51190,51210,51230,51720,51730,51750,51760,51770,51780,51790,51800,51810,51820,51830,52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800",0011009,0013010,0049010,20250314 ~ 20251113,2025-11-14 15:53:57,2025-11-14 16:14:54,0014010
20251113005400211884,1,004,016,042,0054002,0042001,0044002,탑동 청년문화 복합콘텐츠 공간 조성 기본계획 수립,교육지원,"청년들이 일상에서 문화예술을 시연, 참여할 수 있는 공간을 조성하여 청년의 예술문화 활성화 및 다양한 문화콘텐츠 창출 기반 마련",복지문화,문화활동,"소규모 공연장, 연습실, 야외버스킹 공간 등 조성을 위한 기본계획 수립 용역 추진",6500886,제주특별자치도 문화체육교육국 문화정책과,,       ,,,N,0057001,0056001,20250101,20251231,,,,,,,https://jejuyouthdream.com/support-policy/61,,0,N,18,39,N,0055003,0043001,0,0,,,,115,6500570,제주특별자치도 기획조정실,6500000,제주특별자치도,6500000,제주특별자치도,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740,26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710,27110,27140,27170,27200,27230,27260,27290,27710,27720,28110,28140,28177,28185,28200,28237,28245,28260,28710,28720,29110,29140,29155,29170,29200,30110,30140,30170,30200,30230,31110,31140,31170,31200,31710,36110,41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830,43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800,44131,44133,44150,44180,44200,44210,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825,46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910,47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940,48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890,50110,50130,51110,51130,51150,51170,51190,51210,51230,51720,51730,51750,51760,51770,51780,51790,51800,51810,51820,51830,52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800",0011009,0013010,0049010,20250101 ~ 20251231,2025-11-13 15:57:06,2025-11-13 16:04:16,0014010
20251113005400211883,1,004,016,041,0054002,0042002,0044002,글로벌 청년창의 레지던시,교육지원,"제주청년 예술가들에게 예술창작의 기회 및 해외 예술가와의 교류를 통한 역량강화 기회를 제공하고, 해외에 제주를 홍보하는 등 문화예술분야의 국제교류 활성화 도모",복지문화,예술인지원,국내외 청년 예술가 몰입형 그룹 레지던시로 창작 교류 프로그램 추진,6500886,제주특별자치도 문화체육교육국 문화정책과,,       ,,,N,0057001,0056001,20250101,20251231,,,,,,,http://www.cifaljeju.org/bbs/board.php?bo_table=sub05_3&wr_id=204,,0,N,18,39,N,0055003,0043001,0,0,,국내외 예술활동 실적이 있는 청년예술인,,5,6500570,제주특별자치도 기획조정실,6500000,제주특별자치도,6500000,제주특별자치도,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740,26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710,27110,27140,27170,27200,27230,27260,27290,27710,27720,28110,28140,28177,28185,28200,28237,28245,28260,28710,28720,29110,29140,29155,29170,29200,30110,30140,30170,30200,30230,31110,31140,31170,31200,31710,36110,41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830,43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800,44131,44133,44150,44180,44200,44210,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825,46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910,47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940,48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890,50110,50130,51110,51130,51150,51170,51190,51210,51230,51720,51730,51750,51760,51770,51780,51790,51800,51810,51820,51830,52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800",0011009,0013010,0049010,20250410 ~ 20250509,2025-11-13 15:26:36,2025-11-13 16:02:32,0014010
20251112005400211860,1,005,019,050,0054002,0042013,0044002,도민리포터 운영(청년 리포터),교육지원,"청년들의 참여 활동으로, 지역 콘텐츠 발굴과 주요 정책 홍보",참여권리,청년참여,청년 정책 콘텐츠 및 지역 콘텐츠 발굴 후 홈페이지 게재 및 홍보,6441508,충청남도 대변인 디지털소통담당관,유신곤,       ,,,N,0057001,0056001,20250101,20251231,,,,,,통합검색 - 충청남도 누리집(홈페이지),https://www.chungnam.go.kr/cnportal/search/cnportalSearch/list.do?pSiteId=cnportal&menuNo=5100165,https://www.chungnam.go.kr/cnportal/main/contents.do?menuNo=500163,50,N,19,39,N,0055003,0043001,0,0,,충청남도에 관심있는 청년 및 전국민 대상,,10,6440000,충청남도,0000000,충청남도,6440000,충청남도,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740,26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710,27110,27140,27170,27200,27230,27260,27290,27710,27720,28110,28140,28177,28185,28200,28237,28245,28260,28710,28720,29110,29140,29155,29170,29200,30110,30140,30170,30200,30230,31110,31140,31170,31200,31710,36110,41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830,43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800,44131,44133,44150,44180,44200,44210,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825,46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910,47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940,48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890,50110,50130,51110,51130,51150,51170,51190,51210,51230,51720,51730,51750,51760,51770,51780,51790,51800,51810,51820,51830,52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800",0011009,0013010,0049010,20250101 ~ 20250131,2025-11-12 13:58:24,2025-11-12 17:57:14,0014010
20251111005400211828,1,001,001,002,0054002,0042006,0044002,4차 산업분야 원격실습 직업훈련 지원,교육지원,구직자 취업연계 4차산업분야 원격직업훈련 지원,일자리,취업,최신 IT 기술을 활용하여 미취업자·재직자를 대상으로 4차산업 관련 핵심기술에 대한 원격 실습형 직업훈련 과정 운영 ,6441429,충청남도 산업경제실 경제기획관 일자리기업지원과,유혜린,       ,,이선우,N,0057001,0056001,20250101,20251231,,,,,,,https://cn.korchamhrd.net/,,100,N,15,100,N,0055003,0043001,0,0,,,,42,6440000,충청남도,0000000,충청남도,6440000,충청남도,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740,26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710,27110,27140,27170,27200,27230,27260,27290,27710,27720,28110,28140,28177,28185,28200,28237,28245,28260,28710,28720,29110,29140,29155,29170,29200,30110,30140,30170,30200,30230,31110,31140,31170,31200,31710,36110,41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830,43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800,44131,44133,44150,44180,44200,44210,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825,46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910,47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940,48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890,50110,50130,51110,51130,51150,51170,51190,51210,51230,51720,51730,51750,51760,51770,51780,51790,51800,51810,51820,51830,52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800",0011009,"0013001,0013003",0049010,20250101 ~ 20251231,2025-11-11 14:57:33,2025-11-11 18:40:36,0014010
20251107005400211817,1,002,005,011,0054002,0042013,0044002,대학기숙사 확충,주거지원,대학 기숙사 확충,주거,기숙사,대학 기숙사 확충,6410328,경기도 자치행정국 자치행정과,안희정,       ,,,Y,0057002,0056002,        ,        ,2025년,"학자금지원구간통지서,
재학증명서, 성적증명서 등 제출",심사 후 발표,,"학자금지원구간통지서,
재학증명서, 성적증명서 등 제출",,https://www.gg.go.kr/,,0,N,19,39,N,0055003,0043001,0,0,,,,48,6410000,경기도,0000000,경기도,6410000,경기도,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830",0011009,0013010,0049010,,2025-11-07 15:26:31,2025-11-07 17:04:59,0014010
20251107005400211816,1,001,002,005,0054002,0042002,0044002,청년농업인 경쟁력제고 사업,교육지원,"신기술과 결합된 경쟁력 있는 유형별(신기술, ICT, 벤처, 창업, 가공·관광 등) 사업 추진으로 청년농업인 경쟁력 향상",일자리,창업,"ㅇ 아이디어의 사업화를 위한 장비, 기계, 시설(설비 포함) 등
ㅇ ICT활용 기술 적용 생산비 절감 및 국내육성 품종 확대 사업 등
ㅇ 소포장 상품개발, 브랜드 개발(상표, 디자인, 박스 등) 등",6412074,경기도 경기도농업기술원 기술보급국 지도정책과,임나레,       ,,,N,0057002,0056002,        ,        ,2025년,"ㅇ (시군) 시군별 사업 공고 및 신청서 접수
ㅇ (시군->도) 신청서 제출
","ㅇ (1차)서류심사: 심사표 서류심사 후 상위점수 10명 선정
ㅇ (2차)발표심사: 서류심사 후 선발된 10명 우선순위 결정
 ※ 심사기준표에 의한 심사",,"ㅇ (필수) 사업신청서, 연령 및 3년 이상 영농종사 확인 가능 서류
ㅇ (추가) 가산점 증빙서류, 영농기술·특허 등 심사에 참고가 될만한 서류",,https://www.gg.go.kr/,,6,N,18,39,N,0055003,0043001,0,0,,ㅇ18세~39세 이하의 청년농업인으로 병역필(후계농업경영인 산업기능요원 복무자 가능) 또는 면제자(최근 3년이상 영농종사자),,25,6410000,경기도,0000000,경기도,6410000,경기도,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830",0011009,0013010,0049010,,2025-11-07 15:22:42,2025-11-07 17:03:56,0014010
20251107005400211815,1,001,001,001,0054002,0042006,0044002,청년농업인 영농정착지원,장기미취업청년,영농 초기 불안정한 청년농에게 영농정착지원금을 지급하여 유능한 인재의 농업분야 진출 촉진,일자리,취업,영농정착지원금 3년간 지급(90∼110만원),6412573,경기도 농수산생명과학국 농업정책과,윤가원,       ,,,Y,0057002,0056002,        ,        ,2025년,농림사업정보시스템에 입력 신청,"시군 평가위원회 구성을 통한 선발(서면, 면접) 및 농식품부 확인절차 후 통보",,영농계획서 및 증빙서류,,https://uni.agrix.go.kr/,,0,N,18,40,N,0055003,0043003,0,0,24년도 본인부담 건강보험료 소득판정기준 중위소득 140%,,,38,6410000,경기도,0000000,경기도,6410000,경기도,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830",0011009,0013010,0049010,,2025-11-07 15:19:06,2025-11-07 15:24:43,0014010
20251107005400211812,1,001,001,002,0054002,0042010,0044002,경기청년 역량강화 기회지원,장기미취업청년,취업 준비에 필요한 어학·자격시험 응시료를 지원하여 취업준비 부담 완화 및 고른 취업기회 제공,일자리,취업,"1인 최대 30만원, 어학·자격시험 응시료 실비 지원",6412843,경기도 미래평생교육국 청년기회과,김지서,       ,,,N,0057002,0056002,        ,        ,2025년,온라인 신청(통합접수시스템 ‘잡아바어플라이'),시군별 제출서류 순차 검토 후 선정,,"① 신청서(온라인양식) ② 결제영수증 ③ 주민등록초본 ④ 건강보험 자격득실확인서
⑤ 본인명의 통장사본 ⑥ 유의사항 확인서(온라인입력)
⑦ 개인정보 수집·이용·제공 동의서(온라인입력) ⑧ 응시확인서",,https://apply.jobaba.net,https://apply.jobaba.net/special/GGtestfees/main.do,22300,N,19,39,N,0055003,0043001,0,0,,,,159,6410000,경기도,0000000,경기도,6410000,경기도,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830",0011009,0013010,0049010,,2025-11-07 14:55:42,2025-11-07 15:09:22,0014010
